home_team,away_team,HomeGoals,AwayGoals
Sheffield Weds,Morecambe,2,0
Hereford,Portsmouth,1,3
Sth Shields,FG Rovers,0,2
Bradford City,Harrogate,0,1
Bolton,Barnsley,1,2
Ebbsfleet Utd,FC Halifax Town,2,1
Shrewsbury,York City,2,1
MK Dons,Taunton Town,6,0
Carlisle United,Tranmere Rovers,2,1
Barrow,Mansfield Town,0,1
Stockport,Swindon Town,4,0
Sutton United,Farnborough,0,2
Fleetwood Town,Oxford City,3,1
Barnet,Chelmsford,1,1
Newport County,Colchester Utd,2,0
P'borough Utd,Salford City,0,0
Chippenham,Lincoln City,1,0
Burton Albion,Needham,2,0
Maidenhead Utd,Dag & Red,0,1
Boreham Wood,Eastleigh,3,1
Charlton Ath,Coalville,4,1
Chesterfield,Northampton,1,0
Weymouth,AFC Wimbledon,1,1
Crawley Town,Acc'ton Stanley,1,4
Crewe Alexandra,Leyton Orient,1,0
Bristol Rovers,Rochdale,1,0
Wycombe,Walsall,0,2
Cheltenham,Alvechurch,1,2
Solihull Moors,Hartlepool Utd,2,2
Gateshead,Stevenage,2,3
Port Vale,Exeter City,2,3
Doncaster,King's Lynn,0,1
Buxton,Merthyr Town,2,0
Fylde,Gillingham,1,1
Grimsby Town,Plymouth Argyle,5,1
Wrexham,Oldham Athletic,3,0
Curzon Ashton,Cambridge Utd,0,0
Torquay,Derby County,2,2
Bracknell,Ipswich Town,0,3
Chelmsford,Barnet,0,1
Derby County,Torquay,5,0
Gillingham,Fylde,1,0
Hartlepool Utd,Solihull Moors,1,1
AFC Wimbledon,Weymouth,3,1
Cambridge Utd,Curzon Ashton,0,0
Salford City,P'borough Utd,0,3
Woking,Oxford United,1,2
King's Lynn,Stevenage,0,3
Charlton Ath,Stockport,2,2
Hartlepool Utd,Harrogate,3,1
Walsall,Carlisle United,2,1
Portsmouth,MK Dons,3,2
Shrewsbury,P'borough Utd,3,1
Oxford United,Exeter City,4,1
Barnsley,Crewe Alexandra,3,0
Acc'ton Stanley,Barnet,1,0
Cambridge Utd,Grimsby Town,1,2
AFC Wimbledon,Chesterfield,0,2
FG Rovers,Alvechurch,2,1
Sheffield Weds,Mansfield Town,2,1
Wrexham,Farnborough,4,1
Dag & Red,Gillingham,1,1
Ebbsfleet Utd,Fleetwood Town,0,1
Bristol Rovers,Boreham Wood,0,2
Burton Albion,Chippenham,6,1
Newport County,Derby County,1,2
Ipswich Town,Buxton,4,0
Stockport,Charlton Ath,3,1
Gillingham,Dag & Red,3,2
Manchester Utd,Everton,3,1
Gillingham,Leicester City,0,1
Preston,Huddersfield,3,1
Reading,Watford,2,0
Tottenham,Portsmouth,1,0
Crystal Palace,Southampton,1,2
Boreham Wood,Acc'ton Stanley,1,1
Middlesbrough,Brighton,1,5
Fleetwood Town,QPR,2,1
Millwall,Sheffield Utd,0,2
Blackpool,Nott'ham Forest,4,1
Bournemouth,Burnley,2,4
Chesterfield,West Brom,3,3
Hull City,Fulham,0,2
Shrewsbury,Sunderland,1,2
Ipswich Town,Rotherham Utd,4,1
Brentford,West Ham,0,1
Grimsby Town,Burton Albion,1,0
Coventry City,Wrexham,3,4
Luton Town,Wigan Athletic,1,1
Sheffield Weds,Newcastle Utd,2,1
Liverpool,Wolves,2,2
Bristol City,Swansea City,1,1
Derby County,Barnsley,3,0
Hartlepool Utd,Stoke City,0,3
Norwich City,Blackburn,0,1
Stockport,Walsall,1,2
Cardiff City,Leeds United,2,2
Aston Villa,Stevenage,1,2
Manchester City,Chelsea,4,0
Oxford United,Arsenal,0,3
FG Rovers,Birmingham City,1,2
Swansea City,Bristol City,1,2
Wigan Athletic,Luton Town,1,2
Wolves,Liverpool,0,1
West Brom,Chesterfield,4,0
Leeds United,Cardiff City,5,2
Acc'ton Stanley,Boreham Wood,1,0
Manchester City,Arsenal,1,0
Walsall,Leicester City,0,1
Acc'ton Stanley,Leeds United,1,3
Fulham,Sunderland,1,1
Blackburn,Birmingham City,2,2
Ipswich Town,Burnley,0,0
Southampton,Blackpool,2,1
Sheffield Weds,Fleetwood Town,1,1
Luton Town,Grimsby Town,2,2
Bristol City,West Brom,3,0
Preston,Tottenham,0,3
Manchester Utd,Reading,3,1
Brighton,Liverpool,2,1
Stoke City,Stevenage,3,1
Wrexham,Sheffield Utd,3,3
Derby County,West Ham,0,2
Birmingham City,Blackburn,0,1
Grimsby Town,Luton Town,3,0
Fleetwood Town,Sheffield Weds,1,0
Sheffield Utd,Wrexham,3,1
Burnley,Ipswich Town,2,1
Sunderland,Fulham,2,3
Stoke City,Brighton,0,1
Leicester City,Blackburn,1,2
Fulham,Leeds United,2,0
Bristol City,Manchester City,0,3
Southampton,Grimsby Town,1,2
Burnley,Fleetwood Town,1,0
Manchester Utd,West Ham,3,1
Sheffield Utd,Tottenham,1,0
Manchester City,Burnley,6,0
Sheffield Utd,Blackburn,3,2
Brighton,Grimsby Town,5,0
Manchester Utd,Fulham,3,1
Manchester City,Sheffield Utd,3,0
Brighton,Manchester Utd,0,0
Manchester City,Manchester Utd,,
