home_team,score,away_team
Sheffield Weds,2–0,Morecambe
Hereford,1–3,Portsmouth
Sth Shields,0–2,FG Rovers
Bradford City,0–1,Harrogate
Bolton,1–2,Barnsley
Ebbsfleet Utd,2–1,FC Halifax Town
Shrewsbury,2–1,York City
MK Dons,6–0,Taunton Town
Carlisle United,2–1,Tranmere Rovers
Barrow,0–1,Mansfield Town
Stockport,4–0,Swindon Town
Sutton United,0–2,Farnborough
Fleetwood Town,3–1,Oxford City
Barnet,1–1,Chelmsford
Newport County,2–0,Colchester Utd
P'borough Utd,0–0,Salford City
Chippenham,1–0,Lincoln City
Burton Albion,2–0,Needham
Maidenhead Utd,0–1,Dag & Red
Boreham Wood,3–1,Eastleigh
Charlton Ath,4–1,Coalville
Chesterfield,1–0,Northampton
Weymouth,1–1,AFC Wimbledon
Crawley Town,1–4,Acc'ton Stanley
Crewe Alexandra,1–0,Leyton Orient
Bristol Rovers,1–0,Rochdale
Wycombe,0–2,Walsall
Cheltenham,1–2,Alvechurch
Solihull Moors,2–2,Hartlepool Utd
Gateshead,2–3,Stevenage
Port Vale,2–3,Exeter City
Doncaster,0–1,King's Lynn
Buxton,2–0,Merthyr Town
Fylde,1–1,Gillingham
Grimsby Town,5–1,Plymouth Argyle
Wrexham,3–0,Oldham Athletic
Curzon Ashton,0–0,Cambridge Utd
Torquay,2–2,Derby County
Bracknell,0–3,Ipswich Town
Chelmsford,0–1,Barnet
Derby County,5–0,Torquay
Gillingham,1–0,Fylde
Hartlepool Utd,1–1,Solihull Moors
AFC Wimbledon,3–1,Weymouth
Cambridge Utd,0–0,Curzon Ashton
Salford City,0–3,P'borough Utd
Woking,1–2,Oxford United
King's Lynn,0–3,Stevenage
Charlton Ath,2–2,Stockport
Hartlepool Utd,3–1,Harrogate
Walsall,2–1,Carlisle United
Portsmouth,3–2,MK Dons
Shrewsbury,3–1,P'borough Utd
Oxford United,4–1,Exeter City
Barnsley,3–0,Crewe Alexandra
Acc'ton Stanley,1–0,Barnet
Cambridge Utd,1–2,Grimsby Town
AFC Wimbledon,0–2,Chesterfield
FG Rovers,2–1,Alvechurch
Sheffield Weds,2–1,Mansfield Town
Wrexham,4–1,Farnborough
Dag & Red,1–1,Gillingham
Ebbsfleet Utd,0–1,Fleetwood Town
Bristol Rovers,0–2,Boreham Wood
Burton Albion,6–1,Chippenham
Newport County,1–2,Derby County
Ipswich Town,4–0,Buxton
Stockport,3–1,Charlton Ath
Gillingham,3–2,Dag & Red
Manchester Utd,3–1,Everton
Gillingham,0–1,Leicester City
Preston,3–1,Huddersfield
Reading,2–0,Watford
Tottenham,1–0,Portsmouth
Crystal Palace,1–2,Southampton
Boreham Wood,1–1,Acc'ton Stanley
Middlesbrough,1–5,Brighton
Fleetwood Town,2–1,QPR
Millwall,0–2,Sheffield Utd
Blackpool,4–1,Nott'ham Forest
Bournemouth,2–4,Burnley
Chesterfield,3–3,West Brom
Hull City,0–2,Fulham
Shrewsbury,1–2,Sunderland
Ipswich Town,4–1,Rotherham Utd
Brentford,0–1,West Ham
Grimsby Town,1–0,Burton Albion
Coventry City,3–4,Wrexham
Luton Town,1–1,Wigan Athletic
Sheffield Weds,2–1,Newcastle Utd
Liverpool,2–2,Wolves
Bristol City,1–1,Swansea City
Derby County,3–0,Barnsley
Hartlepool Utd,0–3,Stoke City
Norwich City,0–1,Blackburn
Stockport,1–2,Walsall
Cardiff City,2–2,Leeds United
Aston Villa,1–2,Stevenage
Manchester City,4–0,Chelsea
Oxford United,0–3,Arsenal
FG Rovers,1–2,Birmingham City
Swansea City,1–2,Bristol City
Wigan Athletic,1–2,Luton Town
Wolves,0–1,Liverpool
West Brom,4–0,Chesterfield
Leeds United,5–2,Cardiff City
Acc'ton Stanley,1–0,Boreham Wood
Manchester City,1–0,Arsenal
Walsall,0–1,Leicester City
Acc'ton Stanley,1–3,Leeds United
Fulham,1–1,Sunderland
Blackburn,2–2,Birmingham City
Ipswich Town,0–0,Burnley
Southampton,2–1,Blackpool
Sheffield Weds,1–1,Fleetwood Town
Luton Town,2–2,Grimsby Town
Bristol City,3–0,West Brom
Preston,0–3,Tottenham
Manchester Utd,3–1,Reading
Brighton,2–1,Liverpool
Stoke City,3–1,Stevenage
Wrexham,3–3,Sheffield Utd
Derby County,0–2,West Ham
Birmingham City,0–1,Blackburn
Grimsby Town,3–0,Luton Town
Fleetwood Town,1–0,Sheffield Weds
Sheffield Utd,3–1,Wrexham
Burnley,2–1,Ipswich Town
Sunderland,2–3,Fulham
Stoke City,0–1,Brighton
Leicester City,1–2,Blackburn
Fulham,2–0,Leeds United
Bristol City,0–3,Manchester City
Southampton,1–2,Grimsby Town
Burnley,1–0,Fleetwood Town
Manchester Utd,3–1,West Ham
Sheffield Utd,1–0,Tottenham
Manchester City,6–0,Burnley
Sheffield Utd,3–2,Blackburn
Brighton,5–0,Grimsby Town
Manchester Utd,3–1,Fulham
Manchester City,3–0,Sheffield Utd
Brighton,0–0,Manchester Utd
Manchester City,,Manchester Utd
